num_inputs,num_outputs,num_registers,num_wires,num_always_sequential,num_always_combinational,num_assigns,num_case_statements,num_arithmetic_ops,num_multipliers,num_logical_ops,bitwidth_max,max_if_depth,sequential_ratio,cyclomatic_complexity,fanout_estimate,ast_depth,num_parameters,num_generate_blocks,num_memory_blocks,num_signed_ops,fsm_state_count,combinational_path_len,pipeline_depth,area,power,delay
4,13,90,46,7,3,28,1,22,0,35,8,2,0.7,6,4.96,4,2,1,4,4,0,11,3,27379.799473496034,12.29477578704921,2.7862835807656583
11,9,170,50,4,3,27,4,15,2,17,64,3,0.5714285714285714,18,8.46,5,1,3,0,2,5,12,4,465898.7111847803,181.21142844161812,4.022545335621967
10,3,18,7,3,3,5,5,1,0,28,8,3,0.5,19,7.26,6,4,1,0,0,4,8,1,3678.5630536662234,2.063183739485869,4.529297040130445
6,9,26,16,1,3,5,2,2,0,28,8,3,0.25,12,3.26,6,3,0,0,0,5,5,2,4448.90093815163,2.5522612312237,2.4221671579325506
8,1,45,12,8,3,12,0,12,4,14,16,3,0.7272727272727273,4,14.0,7,3,3,2,3,0,6,4,68624.29600380802,20.90946096678331,2.056759596638377
10,10,14,23,2,5,6,3,1,0,10,2,10,0.2857142857142857,21,2.0,11,1,0,0,0,5,7,1,725.70230953166,0.35242693238934564,5.477153180799857
6,8,117,74,12,5,22,1,8,4,25,64,8,0.7058823529411765,14,4.24,10,3,3,1,3,0,14,4,650500.7851367949,193.58533133752837,5.064295865341154
20,16,47,53,14,4,9,3,10,4,8,16,6,0.7777777777777778,18,2.64,11,1,0,2,2,3,3,3,68446.70389378992,23.249209373969645,2.5411900251192177
6,13,144,23,12,3,9,4,22,1,24,8,6,0.8,22,10.6,9,5,1,2,3,5,10,6,28542.87924591612,15.26664901934468,2.3507198779224656
6,2,24,31,3,1,22,0,6,0,14,8,1,0.75,2,4.41,3,0,2,0,4,0,7,4,3749.1071280224633,2.344644911234651,1.6226749199476522
10,10,53,88,13,8,12,4,18,1,14,64,2,0.6190476190476191,18,1.84,6,4,3,3,0,0,3,5,275424.64671488124,102.09364123246048,2.3478147489685544
