num_inputs,num_outputs,num_registers,num_wires,num_always_sequential,num_always_combinational,num_assigns,num_case_statements,num_arithmetic_ops,num_multipliers,num_logical_ops,bitwidth_max,max_if_depth,sequential_ratio,cyclomatic_complexity,fanout_estimate,ast_depth,num_parameters,num_generate_blocks,num_memory_blocks,num_signed_ops,fsm_state_count,combinational_path_len,pipeline_depth,routing_congestion_factor,area,power,delay
4,13,90,46,7,3,28,1,22,0,35,8,2,0.7,6,4.96,4,2,1,4,4,0,11,3,28.52,33197.12977464708,13.334656279277464,4.800600633324253
11,9,170,50,4,3,27,4,15,2,17,64,3,0.5714285714285714,18,8.46,5,1,3,0,2,5,12,4,6.61,477119.01373523514,183.20743745533156,4.416359574108186
10,3,18,7,3,3,5,5,1,0,28,8,3,0.5,19,7.26,6,4,1,0,0,4,8,1,6.35,5028.787064693998,2.315549940654658,5.280564855667971
6,9,26,16,1,3,5,2,2,0,28,8,3,0.25,12,3.26,6,3,0,0,0,5,5,2,6.52,5781.2008700250735,2.786518516715853,2.967677688838258
8,1,45,12,8,3,12,0,12,4,14,16,3,0.7272727272727273,4,14.0,7,3,3,2,3,0,6,4,10.5,72864.9456654311,21.599755944876584,2.6541586496038807
10,10,14,23,2,5,6,3,1,0,10,2,10,0.2857142857142857,21,2.0,11,1,0,0,0,5,7,1,23.0,1849.8370831865755,0.5445241635073603,8.263172859938747
6,8,117,74,12,5,22,1,8,4,25,64,8,0.7058823529411765,14,4.24,10,3,3,1,3,0,14,4,4.9,658056.0287867115,194.84924250737197,5.371222887483041
20,16,47,53,14,4,9,3,10,4,8,16,6,0.7777777777777778,18,2.64,11,1,0,2,2,3,3,3,8.75,71915.09521172181,23.87562773934708,3.1214965771799346
6,13,144,23,12,3,9,4,22,1,24,8,6,0.8,22,10.6,9,5,1,2,3,5,10,6,30.47,34504.180512985855,16.34563443418849,3.791895626016983
6,2,24,31,3,1,22,0,6,0,14,8,1,0.75,2,4.41,3,0,2,0,4,0,7,4,17.09,7218.4725610906835,2.950376173209822,2.6391018368165113
10,10,53,88,13,8,12,4,18,1,14,64,2,0.6190476190476191,18,1.84,6,4,3,3,0,0,3,5,2.53,279375.218380229,102.87060215163164,2.483533819377323
7,5,69,39,12,8,9,4,10,2,37,32,3,0.6,16,4.64,8,5,0,0,4,0,4,3,5.65,110001.30060463815,44.689587642027064,2.9167371158571873
9,9,12,17,1,2,6,1,3,0,14,8,9,0.3333333333333333,14,2.28,11,8,0,0,0,6,4,1,4.84,3703.4845684693387,1.400134556671372,4.73817002457688
10,2,29,15,1,1,7,5,4,0,11,16,2,0.5,20,5.95,3,3,0,0,0,12,2,1,5.58,12820.969296369756,6.329975685029532,3.766866593117626
6,5,92,12,12,0,17,2,24,4,11,8,3,1.0,9,18.94,5,2,1,1,3,0,6,7,28.41,32743.604535251285,13.10287512755889,2.7607208550367015
18,7,38,16,11,2,7,2,21,2,16,32,4,0.8461538461538461,11,6.57,7,3,2,1,3,5,12,6,3.29,114058.54254074473,36.449638634855035,3.0245195025977973
6,12,9,9,2,1,1,5,1,0,14,16,6,0.6666666666666666,24,1.68,7,6,0,0,0,7,6,2,0.94,5351.761186971593,2.0732842938046367,3.7061358987782733
4,4,51,12,3,2,8,2,14,1,14,8,4,0.6,10,11.02,8,0,0,0,5,0,18,3,16.53,12932.327781397056,5.734844097633137,5.495872936711487
15,11,161,33,10,3,6,3,16,0,30,8,3,0.7692307692307693,14,9.93,5,3,4,3,4,3,6,3,40.96,41852.84928026517,19.516234396410685,4.924177457210909
2,4,29,15,2,2,4,2,0,0,18,8,2,0.5,10,4.05,3,4,1,0,0,8,4,1,7.59,6164.005748793496,3.057741746951485,3.9573232771428017
12,5,18,15,2,1,4,3,4,0,18,1,10,0.6666666666666666,21,3.74,11,2,1,0,0,5,6,2,56.1,1864.6616742572928,0.4894529616667337,8.0942724082101
11,8,17,15,2,5,8,1,3,0,24,1,5,0.2857142857142857,10,3.44,6,7,0,0,0,11,8,1,51.6,1744.6276241078795,0.4922505475829012,10.94802935301695
4,3,95,30,4,2,20,1,27,3,8,64,4,0.6666666666666666,8,10.1,8,1,1,1,5,0,10,7,4.73,531233.5812037658,177.4976844972382,3.0716500963724886
13,8,160,15,8,5,11,4,23,4,28,16,5,0.6153846153846154,21,19.2,10,6,1,4,3,3,13,2,18.0,115354.14599286126,47.969731821015905,29.250081862127633
4,2,102,29,6,1,8,0,7,1,10,32,1,0.8571428571428571,3,10.3,4,4,1,2,5,0,10,5,9.33,122753.87871236345,56.77032312260279,2.6106855186411346
5,1,112,59,4,3,11,0,31,5,11,16,4,0.5714285714285714,5,5.97,8,1,0,1,1,0,16,5,22.01,99263.83849179212,37.17901586208628,4.498145646361729
18,11,149,69,12,8,33,2,20,3,24,32,8,0.6,16,6.0,12,5,3,1,2,8,4,4,12.94,216150.19075264837,77.22958749588584,3.5607782425570567
7,7,23,7,1,2,3,4,1,0,28,4,5,0.3333333333333333,18,5.19,7,7,1,0,0,11,5,2,9.08,3334.561731604081,1.5092742862546735,3.4886379543299837
8,8,30,23,3,1,6,4,0,0,17,2,6,0.75,20,3.12,8,4,1,0,0,6,4,2,35.88,2957.750338135868,0.9981102417156662,5.90781388193547
9,3,101,53,9,1,18,0,25,4,3,8,4,0.9,5,6.4,6,3,1,1,1,0,4,4,42.4,37113.892913437405,14.200238281523596,4.458612718964023
6,4,57,31,9,2,17,1,32,0,10,32,1,0.8181818181818182,4,6.4,4,1,0,2,0,0,16,2,6.2,67839.2076054713,31.946000477020583,5.212371315209036
2,11,10,12,1,4,1,5,1,0,20,2,6,0.2,23,1.24,7,2,0,0,0,7,2,1,7.44,1050.8442138521077,0.3713263719463781,4.090937367197969
9,2,25,47,6,0,13,2,25,6,4,64,1,1.0,7,2.69,5,3,2,0,4,0,14,4,1.98,840130.2322545141,211.86632108891442,4.350467275411101
9,3,19,16,3,4,2,4,1,0,29,8,10,0.42857142857142855,25,3.47,12,8,1,0,0,9,8,2,6.94,5358.839097731752,2.169747137713853,4.836177789068405
4,3,73,25,10,3,14,0,21,6,8,16,2,0.7692307692307693,4,9.1,4,2,2,1,2,0,18,6,14.22,92296.87932647642,30.510259422700077,3.8695061038568492
4,10,68,25,7,7,20,2,20,3,36,32,8,0.5,15,6.31,10,3,1,3,1,5,13,6,4.93,200846.994645702,72.67095314002174,3.565273090827459
8,4,111,45,8,2,18,1,15,2,6,64,1,0.8,4,7.83,4,0,1,0,1,0,15,5,5.51,388356.7064092877,139.4077082616542,3.659713325285179
4,2,53,24,8,1,13,0,28,4,5,32,3,0.8888888888888888,4,7.54,5,4,2,2,1,0,14,8,5.66,210737.23457589617,64.95492352353781,2.986259282410014
3,5,52,40,10,3,14,0,7,2,10,8,1,0.7692307692307693,2,4.29,4,3,0,2,5,0,14,2,21.45,23622.517659741112,9.026785684033353,13.438085438999458
11,6,8,12,1,5,6,5,4,0,25,2,5,0.16666666666666666,23,3.06,7,8,1,0,0,7,8,2,18.36,1574.9644058498004,0.4931495691012647,5.125900572962575
4,2,96,23,7,0,9,0,11,4,4,8,2,1.0,3,12.21,5,3,3,1,0,0,7,4,35.1,35169.24760109255,13.151687505577824,4.327774143199529
18,3,79,48,14,4,18,1,22,1,17,32,4,0.7777777777777778,9,5.41,6,1,1,2,4,5,10,2,8.12,110960.8019106986,47.27786491382964,13.025834031221374
9,3,80,44,10,3,6,2,7,3,14,32,3,0.7692307692307693,9,5.66,5,0,1,2,6,0,17,6,7.78,178083.11662749294,60.57422628370396,3.6891497891717027
12,11,30,37,11,8,34,3,10,4,35,8,7,0.5789473684210527,20,3.8,9,4,2,3,2,5,13,2,17.57,30624.74943344845,9.331824512810137,22.174187505481164
8,13,21,14,3,4,8,1,3,0,8,4,7,0.42857142857142855,12,3.01,9,2,1,0,0,11,8,1,10.54,3106.155470106901,1.287285297768191,5.977254493510349
17,2,68,81,9,8,25,4,6,1,25,64,6,0.5294117647058824,20,3.18,10,4,3,0,0,3,14,3,4.02,228408.79159429276,80.9295615803303,5.497244717735643
9,1,44,17,10,0,24,0,21,5,7,8,3,1.0,5,11.98,6,3,1,1,4,0,6,5,25.46,30229.51065391544,9.627953472282059,3.2775711044678206
10,13,10,7,2,4,5,5,2,0,6,16,6,0.3333333333333333,24,2.75,8,8,0,0,0,10,6,2,1.2,6568.788317173306,2.3630539061208884,3.7129644913505517
9,4,57,22,6,3,11,1,7,2,14,32,4,0.6666666666666666,8,8.29,7,1,3,0,1,0,12,6,5.7,109800.14871904776,40.85376450859849,2.8892761805199534
10,1,83,39,3,1,17,2,10,0,10,8,3,0.75,9,7.7,7,3,0,1,6,0,14,8,37.54,20506.86344576321,9.540276539626069,3.702153131039649
14,12,144,84,4,2,12,3,12,0,35,64,2,0.6666666666666666,12,4.25,7,2,2,0,0,5,3,4,5.58,162646.3026028471,103.55806464315431,2.7093756287517463
9,2,47,43,9,1,9,0,8,4,9,32,2,0.9,4,4.04,6,1,1,1,5,0,8,5,5.43,191735.42498361415,58.73177677355799,2.61597449083308
10,3,102,44,5,0,18,1,24,2,13,8,4,1.0,8,7.74,7,2,1,1,6,0,11,2,42.57,33633.46629359424,13.827492212589894,14.658461583833079
11,7,24,14,3,3,0,4,2,0,6,8,2,0.5,17,3.67,5,8,1,0,0,6,6,2,6.42,5579.582026376816,2.379995754323451,3.2892520210255287
11,6,27,9,3,1,0,3,3,0,7,2,7,0.75,19,5.57,8,2,1,0,0,8,7,2,25.07,2589.3870591747846,0.8526066620448213,5.685312605289414
4,14,23,16,3,5,4,2,2,0,21,2,6,0.375,15,2.27,8,2,1,0,0,4,3,1,18.16,1982.1969123010467,0.781238954160681,5.839604817632788
15,3,121,16,8,2,19,3,13,4,32,64,8,0.8,20,19.58,10,6,1,3,0,5,12,3,4.89,742382.1881774996,224.2489084531593,5.6019016383459235
18,16,97,67,5,3,6,1,14,3,15,8,2,0.625,7,3.5,8,2,3,3,2,8,12,3,29.31,37744.29740017006,14.755052254983443,5.261697847448431
10,5,68,27,3,2,10,1,20,1,8,8,1,0.6,5,7.7,5,2,0,1,2,0,7,2,25.99,21119.427939308658,9.16794276316757,8.574090157804811
6,5,18,13,8,1,8,2,12,0,15,8,2,0.8888888888888888,7,4.98,4,2,1,2,0,0,8,8,8.09,12804.780262979844,4.299206802893784,1.875620738266224
10,6,31,10,1,1,2,1,2,0,13,2,7,0.5,11,5.91,8,5,0,0,0,5,7,2,29.55,2769.519624277051,0.9515079360595432,5.497018237204745
6,9,134,61,12,2,19,2,24,0,27,8,5,0.8571428571428571,12,5.45,7,4,3,3,0,8,14,5,41.56,38376.19573779759,16.34700407619676,5.180579834187536
7,11,10,7,1,3,8,3,3,0,25,1,10,0.25,21,3.06,12,7,0,0,0,4,8,1,21.42,916.4251967816579,0.2713647639042143,8.029113238991958
6,4,59,39,9,3,7,1,19,2,13,64,3,0.75,7,4.69,5,3,0,0,6,0,5,2,2.86,312733.41050541715,99.09351375669372,24.90335052836403
8,2,87,13,12,2,25,0,19,2,13,8,4,0.8571428571428571,5,22.4,7,4,2,1,0,0,13,6,36.4,28369.374414120895,10.947182307513206,4.21941729653649
12,9,13,8,2,5,5,1,2,0,24,2,5,0.2857142857142857,10,3.88,8,1,1,0,0,3,3,2,15.52,1543.2242141484758,0.5052208745201565,3.4299398040751696
14,7,21,38,6,7,7,2,25,0,13,32,7,0.46153846153846156,15,2.24,12,4,3,2,1,5,7,4,2.66,51279.92018410689,17.392202089088855,3.0853654508859756
5,4,60,21,14,2,13,4,18,3,36,8,5,0.875,20,7.49,8,5,0,2,3,0,7,6,19.66,28822.272751329878,11.444502100838486,3.168430866388427
3,2,66,48,3,0,10,1,12,6,5,32,3,1.0,7,4.42,6,0,0,1,5,0,10,3,6.63,257535.8033562791,75.55068005319245,4.26899048904324
10,13,13,21,3,3,1,4,0,0,19,8,2,0.5,16,1.55,3,6,1,0,0,12,5,2,4.07,4530.023723156364,1.7841980774131938,3.1099053041767006
9,1,57,20,12,3,15,0,19,6,4,8,2,0.8,4,10.8,6,3,0,1,6,0,8,7,27.0,34418.691946759296,12.661605358588568,3.0923707253168247
8,2,25,42,4,1,15,1,29,6,13,16,2,0.8,5,3.05,4,1,2,0,1,0,13,3,8.01,75727.54939179875,22.169348126833583,4.381007935830289
9,14,180,78,11,8,26,3,25,2,17,8,5,0.5789473684210527,15,5.61,10,4,2,2,4,0,8,6,54.7,45381.65485746945,20.50998435959117,4.69005799539662
9,9,7,6,2,3,1,1,4,0,25,4,10,0.4,15,2.49,12,1,1,0,0,12,7,1,3.74,1918.6630441664963,0.7401318678257368,5.390892658144411
5,1,73,16,8,0,20,2,11,0,6,64,4,1.0,10,16.14,8,4,1,1,2,0,18,4,4.04,113117.35811645282,55.54092873727894,4.843836299118906
8,5,22,60,8,0,14,0,23,5,9,64,3,1.0,5,1.9,7,4,1,1,0,0,13,7,1.78,754418.1659853173,188.73441063901234,3.1181870114311634
6,12,28,17,1,5,1,3,4,0,18,4,7,0.16666666666666666,17,2.66,10,2,1,0,0,11,4,1,11.3,3711.867258647032,1.6449959363921995,5.201477307575849
5,2,59,59,10,1,11,0,10,0,7,32,1,0.9090909090909091,2,3.44,5,2,1,2,3,0,6,3,6.34,65076.21554796856,29.627474248705795,2.6417085023944034
4,13,20,6,2,3,3,4,4,0,15,16,9,0.4,22,3.13,12,4,1,0,0,10,8,1,1.17,9716.229074662178,4.60726651535152,5.859390514621856
10,3,115,34,11,3,9,0,31,4,5,64,3,0.7857142857142857,4,10.14,7,3,2,2,0,0,15,8,5.39,720940.7881496534,214.96092757488472,3.38257447720805
13,3,61,49,11,3,31,4,7,1,36,8,4,0.7857142857142857,17,4.85,9,1,3,4,2,3,9,2,29.71,31135.3156309403,11.45976181721693,10.155179411865449
3,3,28,55,8,1,8,0,15,6,10,16,2,0.8888888888888888,4,1.88,5,4,0,0,0,0,8,3,6.46,74305.20110225627,20.94549060724739,3.3111413349736423
11,10,19,8,2,2,4,1,0,0,13,16,8,0.5,14,4.16,11,8,0,0,0,4,8,2,2.08,7084.405397636801,3.675860646979407,4.353875730149181
